username,email,firstName,lastName,groups,roles
admin,,,,,default-roles-master;admin
alice,alice@example.com,Alice,Smith,admins;users,default-roles-master
bella,bella@example.com,Bella,Lewis,users,default-roles-master
bob,bob@example.com,Bob,Johnson,users,default-roles-master
charlie,charlie@example.com,Charlie,Williams,users,default-roles-master
cora,cora@example.com,Cora,Robinson,managers;users,default-roles-master
daisy,daisy@example.com,Daisy,Brown,managers,default-roles-master
derek,derek@example.com,Derek,Walker,admins,default-roles-master
edward,edward@example.com,Edward,Jones,guests,default-roles-master
elena,elena@example.com,Elena,Young,guests;users,default-roles-master
fanny,fanny@example.com,Fanny,Miller,guests;users,default-roles-master
fred,fred@example.com,Fred,Allen,users,default-roles-master
george,george@example.com,George,Davis,managers;users,default-roles-master
grace,grace@example.com,Grace,King,guests,default-roles-master
hannah,hannah@example.com,Hannah,Garcia,admins,default-roles-master
harry,harry@example.com,Harry,Wright,users,default-roles-master
ian,ian@example.com,Ian,Martinez,admins;managers,default-roles-master
ingrid,ingrid@example.com,Ingrid,Scott,managers,default-roles-master
jonas,jonas@example.com,Jonas,Torres,admins,default-roles-master
julia,julia@example.com,Julia,Hernandez,users,default-roles-master
karen,karen@example.com,Karen,Lopez,admins,default-roles-master
kyle,kyle@example.com,Kyle,Nguyen,guests,default-roles-master
leo,leo@example.com,Leo,Gonzalez,users,default-roles-master
luna,luna@example.com,Luna,Hill,admins;users,default-roles-master
mason,mason@example.com,Mason,Flores,users,default-roles-master
mia,mia@example.com,Mia,Wilson,guests,default-roles-master
nina,nina@example.com,Nina,Anderson,users,default-roles-master
nora,nora@example.com,Nora,Green,guests,default-roles-master
omar,omar@example.com,Omar,Adams,managers,default-roles-master
oscar,oscar@example.com,Oscar,Thomas,managers,default-roles-master
paul,paul@example.com,Paul,Taylor,admins,default-roles-master
penny,penny@example.com,Penny,Nelson,users,default-roles-master
quincy,quincy@example.com,Quincy,Baker,admins;users,default-roles-master
quinn,quinn@example.com,Quinn,Moore,guests;users,default-roles-master
rachel,rachel@example.com,Rachel,Jackson,admins,default-roles-master
ruth,ruth@example.com,Ruth,Hall,users,default-roles-master
sam,sam@example.com,Sam,Martin,managers,default-roles-master
steve,steve@example.com,Steve,Rivera,admins,default-roles-master
tina,tina@example.com,Tina,Lee,users,default-roles-master
trudy,trudy@example.com,Trudy,Campbell,users,default-roles-master
ulysses,ulysses@example.com,Ulysses,Perez,admins;managers,default-roles-master
ursula,ursula@example.com,Ursula,Mitchell,guests;users,default-roles-master
val,val@example.com,Val,Carter,users,default-roles-master
victor,victor@example.com,Victor,White,guests,default-roles-master
wade,wade@example.com,Wade,Roberts,managers,default-roles-master
wanda,wanda@example.com,Wanda,Harris,admins;users,default-roles-master
xander,xander@example.com,Xander,Sanchez,users,default-roles-master
xena,xena@example.com,Xena,Gomez,users,default-roles-master
yasmine,yasmine@example.com,Yasmine,Clark,managers;users,default-roles-master
yuri,yuri@example.com,Yuri,Phillips,admins;guests,default-roles-master
zane,zane@example.com,Zane,Ramirez,guests,default-roles-master
